Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix et en 2 lots ayant pour but l'enlèvement et l'hébergement, pendant 36 mois, d'animaux errants, abandonnés ou perdus, ainsi que l'enlèvement de cadavres d'animaux, les enlèvements ayant lieu sur le territoire de la Ville de Bruxelles  conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010347).;Overheidsopdracht voor diensten tegen prijslijst en in 2 percelen met het doel het ophalen en herbergen, gedurende 36 maanden, van loslopende, achtergelaten of verdwaalde dieren, en voor het ophalen van dierenlijken, waarbij de ophalingen plaatshebben op het grondgebied van de Stad Brussel afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010347).;27/03/19;S.R.P.A. Veeweyde ASBL - avenue d'Itterbeek 600 - 1070 Bruxelles + Savu ASBL - rue Léon Dopéré 36/5 - 1090 Jette;108.497,41
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'analyse, pendant 36 mois, de divers échantillons médicaux pour le département du Personnel conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010127).;Overheidsopdracht voor diensten tegen prijslijst met het doel de analyse, gedurende 60 maanden, van verschillende medische stalen voor departement Personeel afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010127).;4/04/19;Cerba Healthcare Belgium - avenue Jospeh Wybran 45A - 1070 Bruxelles;40.506,81
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'obtention, pendant 48 mois, d'un accompagnement externe en matière d'optimisation organisationnelle pour le département Organisation conclu par procédure négociée sans publicité préalable en application des articles 23 et 25 de la loi du 15/06/2006 (cahier spécial des charges CDA/008819).- Commandes supplémentaires.;Overheidsopdracht voor diensten tegen prijslijst met het doel het bekomen, gedurende 48 maanden, van externe begeleiding op het vlak van organisatieoptimalisatie voor departement Organisatie afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikels 23 en 25 van de wet van 15/06/2006 (bestek nr CDA/008819). Bijkomende bestellingen.;23/05/19;Deloitte Consulting cvba - Luchthaven National 1 j - 1930 Zaventem;300.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible ayant pour but l'entretien préventif et curatif, pendant 12 mois, de 354 potelets manuellement rétractables pour le département Travaux de Voirie conclu par procédure négociée sans publicité en application de l'article 26, § 1er, 1°, f, de la loi du 15/06/2006 (cahier spécial des charges n° CDA/008520). Reconduction.;Verlengbare overheidsopdracht voor diensten met het doel het preventief en curatief onderhoud, gedurende 12 maanden, van 354 handmatig inzinkbare paaltjes voor het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder  bekendmaking overeenkomstig artikel 26, § 1, 1°, f, van de wet van 15/06/2006 (bestek nr CDA/008520). Verlenging.;23/05/19;Krautli nv - Industrialaan 15 - Zone Maalbeek - 1702 Groot-Bijgaarden;93.695,48
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 2 lots ayant pour but la fourniture, pendant 24 mois, de literie pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17 juin 2016 (cahier des charges n°  CDA/010422).;Overheidsopdracht voor leveringen tegen prijslijst en in 2 percelen met het doel de levering, gedurende 24 maanden, van beddengoed voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17 juni 2016 (bestek nr CDA/010422).;20/06/19;JBH International SPRL - rue Colonel Bourg 127-129 - 1140 Bruxelles + Robberechts SA - rue César Franck 41 - 1050 Bruxelles;116.192,48
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'auto-laveuses pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010267).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van schrobzuigmachines voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010267).;4/07/19;Colas Cleaning Equipment SA - chaussée de Mons 61 - 1070 Bruxelles;70.794,68
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 7 lots ayant pour but la fourniture, pendant 60 mois, de mobilier durable de bureau et de collectivité pour divers départements conclu par adjudication ouverte  en application des articles 23 et 24 de la loi du 15/06/2006  (cahier des charges n° CDA/007409).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst en in 7 percelen met het doel de levering, gedurende 60 maanden, van duurzaam kantoor- en groepsmeubilair voor verschillende departementen afgesloten via afgesloten via open aanbesteding overeenkomstig artikelen 23 en 24 van de wet van 15/06/2006 (bestek CDA/007409).- Bijkomende bestellingen.;11/07/19;Bedimo SA - rue du Bourgmestre 28 - 1050 Bruxelles;25.000,00
Centrale d'Achats / Aankoopcentrale;Accord-cadre en 4 lots ayant pour but la réalisation, pendant 12 mois, de divers travaux d'impression pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010513).;Raamovereenkomst in 4 percelen over 12 maanden met het doel de realisatie van verschillende drukwerken voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010513).;18/07/19;Atelier Creation Graphique sprl, Avenue Prekelinden 136 à 1200 Bruxelles + Drifosett Printing SA, Avenue du Four à Briques 3A à 1140 Bruxelles + IPM Printing SA, Avenue de Rusatira 3b à 1083 Bruxelles + Paperland SA , Chaussée d'Alsemberg 1264 à 1180 Bruxelles;50.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture de sacs-poubelles en polyéthylène recyclable pour les cellules Zones Vertes et Propreté Publique du département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010665).;Overheidsopdracht voor leveringen met het doel de levering van vuilniszakken in recycleerbaar polyethyleen voor de Cellen Groene Zones en Openbare Reinheid van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010665).;18/07/19;Sphere Belgium SA - avenue Louise 222 - 1050 Bruxelles;75.152,33
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures en 3 lots ayant pour but la fourniture, le déballage et le placement de matériel d'athlétisme pour la cellule Sport du département Culture, Jeunesse, Loisirs et Sports  conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010773).;Overheidsopdracht voor leveringen in 3 percelen met het doel de levering, uitpakken en plaatsing van atletiekmateriaal voor de cel Sport van het departement Cultuur, Jeugd, Ontspanning en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010773).;5/09/19;Allard Sport Equipement SPRL - Weyler 28 - 6700 Arlon;69.561,69
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et reconductible ayant pour but la fourniture, pendant 12 mois, de pneus et l'exécution de prestations qui y sont liées pour les véhicules du département Travaux de Voirie  conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010430).;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van banden en de uitvoering van daarmee verband houdende diensten voor de voertuigen van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010430).;19/09/19;Q Team - Vplan Holding SA - chaussée de Zellik 25 - 1082 Bruxelles;150.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de sable et de matériaux de construction  pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010517).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van zand en bouwmaterialen voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010517).;19/09/19;Lommat SA - quai des Armateurs 17/2 - 1000 Bruxelles + MPRO Bruxelles - avenue du Port 25 - 1000 Bruxelles;95.281,19
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 5 lots ayant pour but la fourniture, pendant 12 mois, de chaussures de sécurité basses et hautes, sabots de travail, sandales de travail et chaussures de sécurité blanches pour le département Centrale d'Achats conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010388).;Overheidsopdracht voor leveringen tegen prijslijst en in 5 percelen met het doel de levering, gedurende 12 maanden, van lage en hoge veiligheidsschoenen, werkklompen, werksandalen en witte veiligheidsschoenen voor departement Aankoopcentrale afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010388).;3/10/19;Vandeputte Safety nv - Binnensteenweg 160 - 2530 Boechout + Branson-CD bvba - Pamelstraat-Oost 425 - 9400 Ninove;117.470,98
Centrale d'Achats / Aankoopcentrale;Marché public reconductible de fournitures à bordereau de prix ayant pour but la fourniture, le montage, le placement et l'installation pendant 24 mois, de signalétique extérieure et intérieure pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010533).;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, montage, plaatsing en installatie gedurende 24 maanden, van buiten- en binnensignalisatie voor verschillende departementen  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010533).;3/10/19;Win Win Visual Communications - rue Stroobants 62/117 - 1140 Bruxelles;72.529,67
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture, l'installation et la mise en service d'humidificateurs pour la cellule Archives du département Culture, Jeunesse, Loisirs et Sports conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010805).;Overheidsopdracht voor leveringen met het doel de levering, installatie en inbedrijfstelling van luchtbevochtigers voor de cel Archief van het departement Cultuur, Jeugd, Ontspanning en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010805).;3/10/19;Condair nv - De Vunt 13/55 - 3220 Holsbeek;45.617,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 60 mois, de produits d'entretien écologiques, de produits et de petit matériel d'entretien à usage professionnel, et de produits à usage hygiénique pour divers départements conclu par adjudication ouverte  en application des articles 23 et 24 de la loi du 15/06/2006  (cahier des charges n° CDA/006350).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 60 maanden, van ecologische onderhoudsproducten, onderhoudsproducten en klein onderhoudsmateriaal voor professioneel gebruik, en producten voor hygiënisch gebruik voor verschillende departementen afgesloten via open aanbesteding overeenkomstig artikelen 23 en 24 van de wet van 15/06/2006 (bestek CDA/006350).- Bijkomende bestellingen.;17/10/19;Essef bvba - Izegemsestraat 98 - 8880 Sint-Eloois-Winkel;500.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 3 lots ayant pour but la fourniture, pendant 36 mois, de gasoil de chauffage, de gasoil extra à usage commercial et industriel, et de pétrole lampant pour divers départements conclu par procédure négociée directe avec publicité préalable en application de l'article 41, § 1er, 1°, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010690).;Overheidsopdracht voor leveringen tegen prijslijst en in 3 percelen met het doel de levering, gedurende 36 maanden, van verwarmingsgasolie, gasolie extra voor industrieel en commercieel gebruik, en lamppetroleum voor verschillende departementen afgesloten via vereenvoudige onderhandelingsprocedure met voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1°, van de wet van 17/06/2016 (bestek nr CDA/010690).;24/10/19;Gabriels & Co nv - Hekkestraat 41 - 9308 Hofstade + Confort Energy nv - Slachthuiskaai 28 - 3500 Hasselt + Etablissementen J. Maes Zonen nv - Reedonk 12 - 2880 Bornem;190.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but la sélection, pendant 48 mois, de candidats pour des fonctions supérieures de management  pour le département RH conclu par appel d'offres ouvert  en application des articles 23 et 25 de la loi du 15/06/2006  (cahier des charges n° CDA/007203).- Reconduction.;Overheidsopdracht voor diensten tegen prijslijst met het doel de selectie, gedurende 48 maanden, van kandidaten voor hogere managementfuncties voor departement RH afgesloten via open offerteaanvraag overeenkomstig artikelen 23 en 25 van de wet van 15/06/2006 (bestek CDA/007203).- Verlenging.;7/11/19;Quintessence Consulting nv - Prins Boudewijnlaan 41 - 2650 Edegem;42.751,96
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures en 2 lots ayant pour but la livraison de chaises et tables pliantes pour la cellule Sport du département Culture, Jeunesse, Loisirs et Sport conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010703).;Overheidsopdracht voor leveringen in 2 percelen met het doel de levering van stoelen en plooitafels voor de cel Sport van het departement Cultuur, Jeugd, Ontspanning en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010703).;21/11/19;Van Hoof nv - Vilvoordsesteenweg 112 - 1745 Opwijk + Metafox nv - Stationsstraat 176 - 8850 Ardooie;49.451,66
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 36 mois, de rayonnages d'archives pour divers départements conclu par procédure négociée sans publication en application de l'article 26, § 1er, 1°, a, de la loi du 15/06/2006 (cahier des charges n°  CDA/008536).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 36 maanden, van archiefrekken voor verschillende departementen afgesloten via onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26, § 1, 1°, a, van de wet van 15/06/2006 (bestek nr CDA/008536).- Bijkomende bestellingen.;28/11/19;Bruyzeel Storage Systems SA - Esplanade du Heysel - Buro & Design - Centre B50 - 1020 Bruxelles;30.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but l'achat de pièces d'origine et la réalisation de réparation, pendant 48 mois, des machines horticoles des marques SHOUTEN, BOKI, KÄRCHER et WEIDEMANN de l'U.O. (unité organisationnelle) Espaces Verts du département Travaux de Voirie et de l'U.O. (unité organisationnelle) Sports du département Culture, Jeunesse, Loisirs et Sport conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010656).;Overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en de verwezenlijking van herstellingen, gedurende 48 maanden, van tuinbouwmachines van de merken SHOUTEN, BOKI, KÄRCHER en WEIDEMANN van de O.E. (organisatorische eenheid) Groene Ruimten van het departement Wegeniswerken en de O.E. (organisatorische eenheid) Sport van het departement Cultuur, Jeugd, Ontspanning en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010656).;28/11/19;Karcher nv - Boomsesteenweg 939 - 2610 Wilrijk;48.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but l'achat de pièces d'origine et les répartions, pendant 48 mois, des tondeuses à siège de la marque TORO de l'U.O.(unité organisationnelle) Espaces Verts du département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010657).;Overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en de herstellingen, gedurende 48 maanden, van de zitmaaiers van het merk TORO van de O.E. (organisatorische eenheid) Groene Ruimten van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010657).;28/11/19;Tuinmachines Decre bvba - Aaeschotsesteenweg 403 - 3012 Wilsele;76.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'obtention, pendant 48 mois, d'un accompagnement externe en matière d'optimisation organisationnelle pour le département Organisation conclu par appel d'offre ouvert en application des articles 23 et 25 de la loi du 15/06/2006 (cahier des charges n° CDA/008819).- Commandes supplémentaires.;Overheidsopdracht voor diensten tegen prijslijst met het doel het bekomen, gedurende 48 maanden, van externe begeleiding op het vlak van organisatieoptimalisatie voor departement Organisatie afgesloten via een open offerteaanvraag  overeenkomstig met artikelen 23 en 25 van de wet van 15/06/2006 (bestek nr CDA/008819).- Bijkomende bestellingen.;28/11/19;Deloitte Consulting cvba - Luchthaven National 1 j - 1930 Zaventem;150.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 3 lots ayant pour but la fourniture de consommables pour chauffage et sanitaires pour divers écoles du département Instruction Publique conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010676).;Overheidsopdracht voor leveringen tegen prijslijst en in 3  percelen met het doel van verbruiksgoederen voor verwarming en sanitair voor verschillende scholen van het departement Openbaar Onderwijs  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010676).;28/11/19;Sanistock SPRL - rue Van Schoor 86 - 103 Bruxelles;47.605,87
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but l'achat de pièces d'origine et la réalisation de réparations, pendant 48 mois, des petites machines horticoles des marques METABO, NIBBI, LAWN-BOY, JO-BEAU et ELIET de l'U.O. (unité organisationnelle) Zones Vertes du département Travaux de Voirie et de l'U.O. (unité organisationnelle) Sports du département Culture, Jeunesse, Loisirs et Sport conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010723).;Overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en de verwezenlijking van herstelligen, gedurende 48 maanden, van de kleine tuinbouwmachines van de merken METABO, NIBBI, LAWN-BOY, JO-BEAU en ELIET van de O.E. (organisatorische eenheid) Groene Ruimten van het departement Wegeniswerken en van de O.E. (organisatorische eenheid) Sport van het departement Cultuur, Jeugd, Ontspannig en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010723).;5/12/19;Vanhie bvba - Vilvoordsesteenweg 172 - 1680 Meise;54.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but le leasing sans option d'achat, pendant 48 mois, de voiturettes électriques de golf pour les cimetières de la Ville conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010842).;Overheidspdracht voor leveringen tegen prijslijst met het doel de leasing zonder aankoopoptie, gedurende 48 maanden, van elktrische golfwagentjes voor de kerkhoven van de Stad afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010842).;12/12/19;Niagara Cars - Ards SPRL - rue Joseph Stallaert 69 - 1050 Bruxelles;133.416,73
Centrale d'Achats / Aankoopcentrale;"Marché public de services ayant pour but l'organisation, pendant 12 mois, d'un défi ""zéro déchet - familles""  pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/011057).";"Overheidsopdracht voor diensten met het doel de organisatie, gedurende 12 maanden, van een uitdaging ""zéro afval - families"" voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/011057).";12/12/19;Jobyourself Coop SCRL FS - rue d'Alost 7-11 - 1000 Bruxelles;46.633,40
